Artist,Playlist_ID
SukhwinderSingh,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0CIE24?si=5339e06288ab40df
SunidhiChauhan,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1SfCKv?si=48e68de4af99422e
TanishkBagchi,https://open.spotify.com/playlist/37i9dQZF1DZ06evO2tQNHM?si=6908122d964f4c69
ThePropheC,https://open.spotify.com/playlist/37i9dQZF1E4Ab4htgO6wJT?si=1197da129bcc41f7
UditNarayan,https://open.spotify.com/playlist/37i9dQZF1DZ06evO491yeR?si=661d53a4fa474456
VishalShekhar,https://open.spotify.com/playlist/37i9dQZF1DZ06evO40xRQ6?si=512d9aa9c8364f15
WhenChaimetToast,https://open.spotify.com/playlist/37i9dQZF1E4nU61C6ilTAf?si=61823a8904a74f99
YoYoHoneySingh,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4r9h36?si=310b6122fec44ab5
AlanWalker,https://open.spotify.com/playlist/37i9dQZF1DX4npDJDFDYLg?si=bbdf2da12f5b4122
AnneMarie,https://open.spotify.com/playlist/37i9dQZF1E4u4EgqVPw90j?si=4c5af70f38a04e1c
Avicii,https://open.spotify.com/playlist/37i9dQZF1DXcXBWjiVEM8R?si=1b9401ba677b4580
Beyonce,https://open.spotify.com/playlist/37i9dQZF1DX2oU49YwtXI2?si=6866c24a04bc40b5
BrunoMars,https://open.spotify.com/playlist/37i9dQZF1E4vTHVDH1FT3Y?si=b619841209344996
CamilaCabello,https://open.spotify.com/playlist/37i9dQZF1DX1riuLHc7Ui5?si=3620e2b28d8e4ef4
CharliePuth,https://open.spotify.com/playlist/37i9dQZF1E4ttwSRrsgHJn?si=1c1d9a1711bd4f34
DJSnake,https://open.spotify.com/playlist/37i9dQZF1DX3jrI7rYHIOI?si=86e26c31b11145b8
DojaCat,https://open.spotify.com/playlist/37i9dQZF1DX1whYo9Mg2Mt?si=4192f0b26eec4b3f
DuaLipa,https://open.spotify.com/playlist/37i9dQZF1E4yMj4BGCYzsQ?si=e1939b32f67943a5
EdSheeran,https://open.spotify.com/playlist/37i9dQZF1E4msk0TFgsyTF?si=1859e39000ba4ea1
EnriqueIglesias,https://open.spotify.com/playlist/37i9dQZF1DZ06evO4oIqZO?si=ab127e8ba3694c19
Halsey,https://open.spotify.com/playlist/37i9dQZF1DWTDkgFD3ivE6?si=2182d2b18dde4397
HarryStyles,https://open.spotify.com/playlist/37i9dQZF1DX55yuR78Invt?si=ed24c0f41a4a4153
ImagineDragons,https://open.spotify.com/playlist/37i9dQZF1DX9tzt7g58Xlh?si=5356f6854a0d4ad4
JeremyZucker,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1Tv9wE?si=49a803e974c74ade
Joji,https://open.spotify.com/playlist/37i9dQZF1DZ06evO2cV1FC?si=0e1e3eba8e894462
JustinBeiber,https://open.spotify.com/playlist/37i9dQZF1DXc2aPBXGmXrt?si=6a3b17798bce44d5
KatyPerry,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3Jefw4?si=a2c0bcaa037f4baa
LadyGaga,https://open.spotify.com/playlist/37i9dQZF1DXc7FZ2VBjaeT?si=53ac95dead024c62
LanaDelRey,https://open.spotify.com/playlist/37i9dQZF1DX3XuY09ikg3x?si=c2a54a5b2d154e86
Maroon5,https://open.spotify.com/playlist/37i9dQZF1DX7KWRIlkUpsl?si=6da78a272f6547f9
MylieCyrus,https://open.spotify.com/playlist/37i9dQZF1DXa0PTjSQ7AeJ?si=fed4a48df2684ad5
NickJonas,https://open.spotify.com/playlist/37i9dQZF1E4rVIRdCaSza3?si=252eb465a4f8464a
OneDirection,https://open.spotify.com/playlist/37i9dQZF1DX6p4TJxzMRDe?si=ac50a9c7d840481f
PostMalone,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1aBeik?si=7a1adae1ee58402e
SelenaGomez,https://open.spotify.com/playlist/37i9dQZF1DXcISkz62UgzG?si=de0939cd84a24e17
Shakira,https://open.spotify.com/playlist/37i9dQZF1DZ06evO0jO79m?si=13290b8b266d4c1b
ShawnMendes,https://open.spotify.com/playlist/37i9dQZF1DX5U6fr1hAMvg?si=f34369da1aed493b
Sia,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3vuU6c?si=6ead6749ef4044f8
TaylorSwift,https://open.spotify.com/playlist/37i9dQZF1DX5KpP2LN299J?si=41d9bdfd0e434072
TheChainsmokers,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3DbIU8?si=ea8809ea4ce64f6d
TheWeeknd,https://open.spotify.com/playlist/37i9dQZF1DX6bnzK9KPvrz?si=811b91f1f3204e8f
TravisScott,https://open.spotify.com/playlist/37i9dQZF1DWUgX5cUT0GbU?si=dfae119b7268424f
ZaynMalik,https://open.spotify.com/playlist/37i9dQZF1DWXTgXFpmvjDS?si=b56e37f19928449f
